Date,Tweet,User,Location,Belief,Keywords_used
11/17/2020,IrishJd21 AreYouSafe SDS123 NDFootballPR NotreDame Had a big trip planned to be in SB this year stupid corona We will meet again in Charlotte and Clemson wont be playing backups this time,b'Iptaylm',"b'Atlanta, GA'",.,keywords
11/17/2020,So sad that this far in Covid19 Iowa mayor finally puts in place a mask mandate Corona has never been a political illness but Republicans and the idiot in office seems to think so How many lives could have been saved DonaldTrump GOP Republicans Mayor,b'MrChrisTJones',"b'\xc3\x9cT: 37.879563,-122.290619'",.,keywords
11/17/2020,The fact that I desperately need to see my psychiatrist but cos of corona its all video calls and that just gives me more anxiety what kinda of trigger world do I live in,b'skylerrkidd',"b'Houston, TX/San Marcos, TX'",.,keywords
11/17/2020,Dear CoronaI really hate you and what youve done to this thing called life,b'thetianaraye',"b'Houston, TX'",.,keywords
11/17/2020,Starbucks Corona California My spouse and I had got two hot drinks then woke up in the middle of the night with intense bloating and stomach pain and diarrhea Food Poisoning,b'iwaspoisoned_',b'',.,keywords
11/17/2020,CiscoL4 This was happening PRE corona You should visit a housing project in NYC and IL and ask were they food insecure before corona Capitalism is NOT the best system and that propaganda has led to us getting our ass whooped by nordic countries A hybrid is the key,b'CPCJuiceBox',b'New York City Baby! ',.,keywords
11/17/2020,Mainstream media lied to America on the corona virus and how POTUS shutdown of travel early did save millions of lives it was Obama who gave the Wohan lab millions to study a bat virus that can be used as a biological weapon,b'larryrstreet',b'lavalette wv',.,keywords
11/17/2020,Trace33917745 JRGarage calitoad Tamarag39 About half that numbers deaths werent even from corona they just found covid in the system so their death was listed as a corona death And even if all 250000 deaths were from covid Id say thats not too bad considering there have been millions and millions of cases,b'ForstieCatrice',b'',.,keywords
11/17/2020,officiallyemz Bitmoji is ready to snuggle and hes coronafree,b'FrontRowFlynn',"b'Los Angeles, CA'",.,keywords
11/17/2020,Now out of no where because the elections are being delayed in court we have 1 million cases of corona Were running on fraud and lies all 2020,b'_youremom',b'Hialeah',.,keywords
11/17/2020,Corona tip of the day spill a little bit of your coffee or your favorite drink on your mask and youll have its pleasant smell for the rest of the day joy,b'jason_aikens',b'2121 George Halas ',.,keywords
11/17/2020,Welp the corona went back up and Im still not going to court until the numbers get back right,b'KiD_NeNo',"b'London, England'",.,keywords
